"企業産業中分類","企業数","0～4人","5～9人","10～19人","20～29人","30～49人","50～99人"," 100
 　～299人"," 300
  ～999人","1,000
 ～1,999人","2,000
 ～4,999人","  5,000人
        以上"
"O 教育，学習支援業","108.0","49.0","21.0","18.0","8.0","4.0","5.0","3.0","-","-","-","-"
"O 教育，学習支援業_81 学校教育","2.0","-","-","2.0","-","-","-","-","-","-","-","-"
"O 教育，学習支援業_82 その他の教育，学習支援業","106.0","49.0","21.0","16.0","8.0","4.0","5.0","3.0","-","-","-","-"
"P 医療，福祉","356.0","71.0","89.0","105.0","31.0","33.0","20.0","7.0","-","-","-","-"
"P 医療，福祉_83 医療業","63.0","28.0","17.0","12.0","1.0","5.0","-","-","-","-","-","-"
"P 医療，福祉_84 保健衛生","-","-","-","-","-","-","-","-","-","-","-","-"
"P 医療，福祉_85 社会保険・社会福祉・介護事業","293.0","43.0","72.0","93.0","30.0","28.0","20.0","7.0","-","-","-","-"
"Q 複合サービス事業","-","-","-","-","-","-","-","-","-","-","-","-"
"Q 複合サービス事業_86 郵便局","-","-","-","-","-","-","-","-","-","-","-","-"
"Q 複合サービス事業_87 協同組合（他に分類されないもの）","-","-","-","-","-","-","-","-","-","-","-","-"
"R サービス業（他に分類されないもの）","569.0","273.0","113.0","74.0","26.0","38.0","27.0","16.0","2.0","-","-","-"
"R サービス業（他に分類されないもの）_88 廃棄物処理業","160.0","76.0","38.0","30.0","9.0","4.0","3.0","-","-","-","-","-"
"R サービス業（他に分類されないもの）_89 自動車整備業","132.0","77.0","37.0","11.0","4.0","3.0","-","-","-","-","-","-"
"R サービス業（他に分類されないもの）_90 機械等修理業（別掲を除く）","37.0","23.0","6.0","4.0","-","2.0","1.0","1.0","-","-","-","-"
"R サービス業（他に分類されないもの）_91 職業紹介・労働者派遣業","35.0","11.0","7.0","6.0","4.0","1.0","5.0","1.0","-","-","-","-"
"R サービス業（他に分類されないもの）_92 その他の事業サービス業","203.0","85.0","25.0","23.0","8.0","28.0","18.0","14.0","2.0","-","-","-"
"R サービス業（他に分類されないもの）_93 政治・経済・文化団体","-","-","-","-","-","-","-","-","-","-","-","-"
"R サービス業（他に分類されないもの）_94 宗教","-","-","-","-","-","-","-","-","-","-","-","-"
"R サービス業（他に分類されないもの）_95 その他のサービス業","2.0","1.0","-","-","1.0","-","-","-","-","-","-","-"
