"企業産業大分類，資本金階級","総数_企業数","総数_常用雇用者数","総数_常用雇用者数_国内","総数_常用雇用者数_海外","株式・有限・相互会社_企業数","株式・有限・相互会社_常用雇用者数","株式・有限・相互会社_常用雇用者数_国内","株式・有限・相互会社_常用雇用者数_海外","合名・合資会社_企業数","合名・合資会社_常用雇用者数","合名・合資会社_常用雇用者数_国内","合名・合資会社_常用雇用者数_海外","合同会社_企業数","合同会社_常用雇用者数","合同会社_常用雇用者数_国内","合同会社_常用雇用者数_海外"
"I 卸売業，小売業 _1億円～3億円未満","8.0","703.0","703.0","-","8.0","703.0","703.0","-","-","-","-","-","-","-","-","-"
"I 卸売業，小売業 _3億円～10億円未満","4.0","2219.0","2219.0","-","4.0","2219.0","2219.0","-","-","-","-","-","-","-","-","-"
"I 卸売業，小売業 _10億円～50億円未満","2.0","841.0","822.0","19.0","2.0","841.0","822.0","19.0","-","-","-","-","-","-","-","-"
"I 卸売業，小売業 _50億円以上","1.0","7354.0","7354.0","-","1.0","7354.0","7354.0","-","-","-","-","-","-","-","-","-"
"I 卸売業，小売業 _(再掲)1,000万円以下","2451.0","16191.0","16178.0","13.0","2419.0","15877.0","15864.0","13.0","28.0","226.0","226.0","-","4.0","88.0","88.0","-"
"I 卸売業，小売業 _(再掲)5,000万円以下","2742.0","27100.0","27087.0","13.0","2710.0","26786.0","26773.0","13.0","28.0","226.0","226.0","-","4.0","88.0","88.0","-"
"I 卸売業，小売業 _(再掲)1億円以下","2769.0","28336.0","28316.0","20.0","2737.0","28022.0","28002.0","20.0","28.0","226.0","226.0","-","4.0","88.0","88.0","-"
"I 卸売業，小売業 _(再掲)3億円以下","2774.0","30714.0","30694.0","20.0","2742.0","30400.0","30380.0","20.0","28.0","226.0","226.0","-","4.0","88.0","88.0","-"
"J 金融業，保険業 ","175.0","4292.0","4292.0","-","171.0","4289.0","4289.0","-","-","-","-","-","4.0","3.0","3.0","-"
"J 金融業，保険業 _300万円未満","24.0","43.0","43.0","-","21.0","40.0","40.0","-","-","-","-","-","3.0","3.0","3.0","-"
"J 金融業，保険業 _300万円～500万円未満","84.0","229.0","229.0","-","84.0","229.0","229.0","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業 _500万円～1,000万円未満","16.0","32.0","32.0","-","15.0","32.0","32.0","-","-","-","-","-","1.0","-","-","-"
"J 金融業，保険業 _1,000万円～3,000万円未満","38.0","255.0","255.0","-","38.0","255.0","255.0","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業 _3,000万円～5,000万円未満","2.0","2.0","2.0","-","2.0","2.0","2.0","-","-","-","-","-","-","-","-","-"
"J 金融業，保険業 _5,000万円～1億円未満","3.0","24.0","24.0","-","3.0","24.0","24.0","-","-","-","-","-","-","-","-","-"
